airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price,date
SpiceJet,8102,Chennai,Afternoon,0,Morning,Hyderabad,Economy,1.84,38,2495,1/1/2023
Vistara,8312,Delhi,Afternoon,1,Morning,Pune,Business,2.67,46,13372,1/2/2023
IndiGo,6320,Delhi,Morning,1,Night,Pune,Economy,2.43,2,7822,1/3/2023
SpiceJet,7132,Delhi,Afternoon,0,Night,Pune,Business,4.65,27,14122,1/4/2023
SpiceJet,8891,Chennai,Morning,2,Afternoon,Pune,Economy,1.16,36,4072,1/5/2023
Vistara,3779,Chennai,Morning,0,Morning,Pune,Economy,3.05,11,9795,1/6/2023
IndiGo,1924,Chennai,Night,0,Evening,Kolkata,Business,3.72,47,10529,1/7/2023
IndiGo,2581,Chennai,Evening,1,Night,Kolkata,Business,4.73,18,5949,1/8/2023
SpiceJet,8714,Bangalore,Night,0,Evening,Goa,Economy,3.48,59,8033,1/9/2023
Air India,4324,Bangalore,Evening,1,Night,Kolkata,Business,4.22,1,13300,1/10/2023
SpiceJet,6713,Mumbai,Evening,2,Afternoon,Goa,Business,1.33,35,12009,1/11/2023
SpiceJet,8026,Chennai,Evening,2,Morning,Goa,Business,2.54,35,10328,1/12/2023
SpiceJet,1255,Bangalore,Afternoon,2,Night,Hyderabad,Business,2.5,31,4555,1/13/2023
SpiceJet,5804,Delhi,Night,0,Morning,Pune,Business,4.55,28,8370,1/14/2023
Vistara,2838,Chennai,Evening,1,Evening,Kolkata,Business,1.61,39,6415,1/15/2023
IndiGo,1009,Mumbai,Morning,2,Afternoon,Hyderabad,Business,1.61,1,7959,1/16/2023
Vistara,3871,Mumbai,Afternoon,1,Morning,Kolkata,Business,2.31,25,11107,1/17/2023
Vistara,9989,Mumbai,Night,1,Afternoon,Goa,Economy,1.22,43,7993,1/18/2023
Vistara,8409,Delhi,Evening,2,Morning,Kolkata,Business,1.73,38,13730,1/19/2023
SpiceJet,8418,Bangalore,Morning,2,Evening,Pune,Economy,4.86,20,7021,1/20/2023
Air India,6124,Delhi,Night,1,Evening,Goa,Business,2.71,3,12292,1/21/2023
